CMDLINE C:\Users\DELL\universityproject\formanai\backend\venv\Scripts\python.exe app.py
MEM 1.820312 1733517942.0769
MEM 3.468750 1733517942.1779
MEM 3.468750 1733517942.2784
MEM 3.468750 1733517942.3788
MEM 3.468750 1733517942.4792
MEM 3.468750 1733517942.5796
MEM 3.468750 1733517942.6802
MEM 3.468750 1733517942.7808
MEM 3.468750 1733517942.8815
MEM 3.468750 1733517942.9816
MEM 3.468750 1733517943.0818
MEM 3.468750 1733517943.1821
MEM 3.468750 1733517943.2825
MEM 3.468750 1733517943.3832
MEM 3.468750 1733517943.4838
MEM 3.468750 1733517943.5854
MEM 3.468750 1733517943.6858
MEM 3.468750 1733517943.7866
MEM 3.468750 1733517943.8875
MEM 3.468750 1733517943.9885
MEM 3.468750 1733517944.0892
MEM 3.468750 1733517944.1899
MEM 3.468750 1733517944.2904
MEM 3.468750 1733517944.3911
MEM 3.468750 1733517944.4917
MEM 3.468750 1733517944.5923
MEM 3.468750 1733517944.6934
MEM 3.468750 1733517944.7938
MEM 3.468750 1733517944.8947
MEM 3.468750 1733517944.9953
MEM 3.468750 1733517945.0959
MEM 3.468750 1733517945.1966
MEM 3.468750 1733517945.2970
MEM 3.468750 1733517945.3982
MEM 3.468750 1733517945.4991
MEM 3.468750 1733517945.5998
MEM 3.468750 1733517945.7007
MEM 3.468750 1733517945.8016
MEM 3.468750 1733517945.9019
MEM 3.468750 1733517946.0024
MEM 3.468750 1733517946.1035
MEM 3.468750 1733517946.2041
MEM 3.468750 1733517946.3051
MEM 3.468750 1733517946.4060
MEM 3.468750 1733517946.5067
MEM 3.468750 1733517946.6074
MEM 3.468750 1733517946.7082
MEM 3.468750 1733517946.8090
MEM 3.468750 1733517946.9096
MEM 3.468750 1733517947.0100
MEM 3.468750 1733517947.1106
MEM 3.468750 1733517947.2112
MEM 3.468750 1733517947.3124
MEM 3.468750 1733517947.4131
MEM 3.468750 1733517947.5136
MEM 3.468750 1733517947.6138
MEM 3.468750 1733517947.7143
MEM 3.468750 1733517947.8148
MEM 3.468750 1733517947.9154
MEM 3.468750 1733517948.0160
MEM 3.468750 1733517948.1164
MEM 3.468750 1733517948.2167
MEM 3.468750 1733517948.3173
MEM 3.468750 1733517948.4177
MEM 3.468750 1733517948.5183
MEM 3.468750 1733517948.6190
MEM 3.468750 1733517948.7194
MEM 3.468750 1733517948.8199
MEM 3.468750 1733517948.9206
MEM 3.468750 1733517949.0219
MEM 3.468750 1733517949.1222
MEM 3.468750 1733517949.2225
MEM 3.468750 1733517949.3231
MEM 3.468750 1733517949.4236
MEM 3.468750 1733517949.5242
MEM 3.468750 1733517949.6246
MEM 3.468750 1733517949.7251
MEM 3.468750 1733517949.8255
MEM 3.468750 1733517949.9260
MEM 3.468750 1733517950.0273
MEM 3.468750 1733517950.1279
MEM 3.468750 1733517950.2287
MEM 3.468750 1733517950.3294
